Date,Traffic_Mawa,Traffic_Jajira,Cash_Mawa,Cash_Jajira,Total_Traffic,Total_Cash
26/06/2022,26589,24727,10887150,10044400,51316,20931550
27/06/2022,10597,12183,10510900,11416050,22780,21926950
28/06/2022,7217,7276,9666800,9791300,14493,19458100
29/06/2022,6989,7116,9533150,9759650,14105,19292800
30/06/2022,7515,6895,10141450,9651000,14410,19792450
07/01/2022,13801,12597,16542100,15111100,26398,31653200
07/02/2022,8377,9627,10896450,12375200,18004,23271650
07/03/2022,6605,6786,9451200,9745150,13391,19196350
07/04/2022,6614,7010,9463050,10501250,13624,19964300
07/05/2022,7631,7762,10922850,11753850,15393,22676700
07/06/2022,8877,7832,12466650,11737100,16709,24203750
07/07/2022,13395,9308,17767750,13883900,22703,31651650
07/08/2022,19667,12056,24750250,17189400,31723,41939650
07/09/2022,11513,8283,15724550,11663750,19796,27388300
07/10/2022,6747,5207,8137750,6473100,11954,14610850
07/11/2022,17735,14705,19396550,16658850,32440,36055400
07/12/2022,14969,16442,16925750,18438700,31411,35364450
13/07/2022,11713,14416,13919600,16508850,26129,30428450
14/07/2022,10748,13031,13449400,15698650,23779,29148050
15/07/2022,13117,16640,16705900,19875150,29757,36581050
16/07/2022,11414,16081,15754750,20056050,27495,35810800
17/07/2022,8571,10005,12468700,13811400,18576,26280100
18/07/2022,7588,8287,11156600,11900150,15875,23056750
19/07/2022,7162,7444,10689800,10814400,14606,21504200
20/07/2022,6672,6835,10032450,10213650,13507,20246100
21/07/2022,7291,6762,10566200,10060250,14053,20626450
22/07/2022,11512,11233,15259650,14883950,22745,30134600
23/07/2022,7500,8457,10481750,11441650,15957,21923400
24/07/2022,5863,5946,8849000,8696100,11809,17545100
25/07/2022,6129,5988,9235600,9083600,12117,18319200
26/07/2022,6140,5807,9398000,8877800,11947,18275800
27/07/2022,6222,6133,9414950,9227900,12355,18641850
28/07/2022,6840,6507,9844000,9942350,13347,19786350
29/07/2022,11076,10582,14743300,14370400,21658,29113700
30/07/2022,6946,8226,9778250,11100950,15172,20879200
31/07/2022,6177,6413,9228050,9513950,12590,18742000
08/01/2022,6071,6259,9195100,9670800,12330,18865900
08/02/2022,6100,5955,9375900,9112600,12055,18488500
08/03/2022,6139,6151,9534000,9303100,12290,18837100
08/04/2022,6670,6209,9878700,9683600,12879,19562300
08/05/2022,11019,10128,14763550,13844800,21147,28608350
08/06/2022,6620,7795,9495350,10635650,14415,20131000
08/07/2022,5723,5824,9077250,8856500,11547,17933750
08/08/2022,5988,5710,9432950,9014850,11698,18447800
08/09/2022,7708,7930,11129750,11591200,15638,22720950
08/10/2022,5421,5548,8484550,8738350,10969,17222900
08/11/2022,6898,6100,10603900,9539650,12998,20143550
08/12/2022,9561,8959,13201850,12661500,18520,25863350
13/08/2022,6248,7070,9459250,10187800,13318,19547050
14/08/2022,5936,5478,9308100,8408750,11414,17716850
15/08/2022,7484,7970,10855600,11404900,15454,22260500
16/08/2022,5123,5640,8116300,8881550,10763,16997850
17/08/2022,6135,6052,9648050,9803000,12187,19451050
18/08/2022,9535,6417,12821050,9123500,15952,21944550
19/08/2022,8648,9042,12166950,12390250,17690,24490250
20/08/2022,6249,8229,9293700,11362300,14478,20656000
21/08/2022,5494,5667,8712700,8843350,11161,17556050
22/08/2022,5476,5789,8818900,9386600,11265,18205500
23/08/2022,5553,5696,8918700,9209300,11249,18128000
24/08/2022,5679,5864,9118800,9487950,11543,18606750
25/08/2022,6273,5981,9864100,9732650,12254,19596750
26/08/2022,8877,8532,12492750,12470050,17409,24962800
27/08/2022,6,7406,9353450,10674050,13743,20027500
